GRBname,breaknum,slopes,slopes_err,breaks,breaks_err,normal,normal_err,fluence,chisq,rchisq,n,npar,dof,deltaAIC,BIC,flare_count,Trig_ID,T90,T90_err,redshift,redshift_err,conversion,conversion_bat,bat_conversion_rchisq,dimple,pulse_count,total_flare_fluence,total_pulse_fluence
GRB050525A,1,"[0.3995701222544333, 1.4336536541107066]","[nan, 0.185226866697818]",[2756.6625705955516],[nan],43.30439775794523,,"(7383.385745901902, [7383.385745901902])",17.39959152534451,0.8285519773973575,25,4,21,3.2981073166647965,-61.70025907580688,0,130088.0,8.836,0.0708802,0.606,,3.5399999999999995e-11,4.72670127618428e-07,1.18253,,8,0.0,4.391103571107183e-06
GRB050421A,2,"[0.6492403808782339, 2.7228206944409923, 5.038422334900983]","[1.5756756520568969, 0.7261288132956372, 1.2082283994007978]","[152.64899563977127, 333.92274257236585]","[0.007787965011199014, 0.13549474406847778]",248.37631347163327,1928.3798486232336,"(978.6977104025977, [355.9938208941599, 622.7038895084379])",19.449473145713736,1.3892480818366957,20,6,14,18.57525304916696,73.10869150071443,0,115135.0,8.408,3.387106,,,6.46e-11,5.454978576134571e-07,0.67901,1.0,0,0.0,0.0
GRB050319A,3,"[0.6036580927695901, 4.747822686922716, 0.5211872621154011, 1.1513750549938513]","[1.5687526552551394, 1.7109429487333618, 0.04781563045202493, 0.27454886082714686]","[279.35454465985276, 386.28768017995674, 25613.50897964937]","[nan, 0.04693398170319853, 0.15144515206964432]",221.83152080677235,2112.143833398816,"(8889.477008371206, [232.7298613981344, 388.00072494937683, 8268.746422023694])",87.31116845478601,1.0152461448230932,94,8,86,17.422322488998926,-181.01705951801463,0,111622.0,151.584,10.64419,3.2425,,3.16e-11,5.102780338680602e-07,0.43114,3.0,4,0.0,1.9229411868778746e-07
GRB050412A,0,[1.6929791714308895],[0.3807951322959092],[],[],11137.960428255648,22344.007992598483,"(0.0, [])",36.92634529321049,4.615793161651311,10,2,8,19.29483719200829,38.52747023446384,0,114485.0,27.572,3.504715,,,4.24e-11,3.4623677953634e-07,0.75477,4.0,0,0.0,0.0
GRB050416A,4,"[1.2496772856465572, 0.020690873985717794, 0.7755721268636604, 0.9151703869541151, -0.3]","[0.4902047693006215, 0.5396902705844415, 0.07889527645563958, 0.08274138960702651, 0.3607426693025029]","[340.7147628960598, 844.0937041946135, 11867.849657376099, 214167.52861880054]","[0.20572778243712447, 0.02858151937387937, 0.0718319027189503, 0.1291847864784903]",844.4028640627283,2115.604365353602,"(5173.501313259259, [317.1229106700888, 287.8029824018374, 1727.5737405022082, 2841.001679685125])",69.38462708399558,0.9504743436163778,83,10,73,15.784088875729148,-354.16671425513243,0,114753.0,6.668,3.422086,0.6528,,3.6899999999999997e-11,4.996184526672797e-07,0.43022,1.0,1,0.0,1.3898516088540343e-07
GRB050219B,0,[1.1058670708618004],[0.18145024073869662],[],[],11975.531266548547,22667.354266243176,"(0.0, [])",11.82270301951554,0.8444787871082529,16,2,14,1.2954294091694494,-69.86399252189504,0,106442.0,28.72,7.120288,,,3.37e-11,5.821462047138802e-07,0.90607,4.0,2,0.0,3.2425031722096038e-06
GRB050505A,2,"[-0.012859725539315333, 1.1511706724353947, 1.7511040298364757]","[nan, 0.08553256993926084, 0.16573021712868008]","[6432.310260473325, 43481.9411921868]","[0.01159628728591644, 0.025691069407171432]",0.623694221847161,,"(9921.235155923463, [2467.835241698792, 7453.39991422467])",149.4769923283291,0.8304277351573839,186,6,180,-22.561472331242317,-694.988975252943,0,117504.0,58.852,6.839795,4.2748,,3.25e-11,2.3784896295314137e-10,1.0749,4.0,3,0.0,9.981147819232411e-11
GRB050401A,4,"[0.7160623916415242, 0.5280102826464498, 5.99999999995725, -0.29999999997360033, 1.2796217753337027]","[0.05257178124075925, 0.05276052278956478, 6.714685251435485, nan, 0.28219496953622]","[412.268033255966, 1943.9463242854927, 2181.143649966605, 4147.143917620698]","[0.03398288812129735, 0.009121848019276582, 0.1050822301796091, 0.22359734801840386]",528.3915861395024,155.8444963493143,"(13443.462455074932, [2804.0354692591054, 6678.144162305918, 531.565200027623, 3429.7176234822864])",308.97799084958115,1.1443629290725228,280,10,270,57.75746473480704,823.0553551191207,1,113120.0,32.092,0.5774426,2.8983,,3.8099999999999996e-11,5.663180532890947e-07,1.22449,4.0,2,2.5736854130604517e-08,1.6661472520791759e-06
GRB050128A,2,"[0.44008054448466344, 1.0139019142229584, 1.6251465414015167]","[0.4700105354570998, 0.039646364903260047, 0.1797944553575968]","[371.5175272708578, 21967.62252381534]","[0.14546522331596198, 0.03775346073302417]",123.58603081624692,333.04129585116027,"(14738.995943749971, [1270.323970950999, 13468.671972798973])",86.80753563168636,0.8112853797353866,113,6,107,-11.632300259962584,-147.23051250110592,0,103906.0,28.0,9.055385,,,3.5399999999999995e-11,5.680628409087481e-07,0.28741,4.0,2,0.0,9.722136483550982e-07
GRB050422A,2,"[2.567869323617332, 5.999999999999889, 1.5966409638736438]","[0.8808298564649356, 2.7516277584755526, 0.4929404084208413]","[131.61725276343765, 194.55885357191522]","[0.05360679211146531, 0.1001825106754374]",1473767.7049420823,6164275.231074074,"(208.73938471161335, [88.42912980616686, 120.3102549054465])",3.423944753075613,1.7119723765378063,8,6,2,16.301169139115977,4.300925472938225,0,115214.0,80.0,22.62742,,,4.96e-11,2.704560030996075e-07,0.23857,3.0,1,0.0,8.49226457987374e-09
