GRBname,flarenum,indices,params,errors,fluence,peak_flux,stats,Trig_ID,T90,T90_err,redshift,redshift_err,conversion,conversion_bat,bat_conversion_rchisq,dimple,t_rise,duration,t_decay,t_start,t_peak,t_end,t_ratio,fluence_rise,fluence_decay,underlying_index,d_l,e_iso,L_p,L_iso,t_peak_z,t_start_z,t_end_z,afterglow_fluence
GRB050401A,1,"[261, 282, 296]","[2177.520544547757, 10.239133333333331, 514.6403581962835, 2.9999999999999933, 1.4413535843403653]","[nan, 13.813058881769663, 106.59881625736062, 3.1157505981355147, 0.35920994920059324]",2.5736854130604514e-08,5.4915570873329e-11,"[8791.829175110817, 28.360739274551023, 315, 5, 310, 1063.6768171824033, 9304.76036457128]",113120.0,32.092,0.5774426,2.8983,,3.8099999999999996e-11,5.663180532890947e-07,1.22449,4.0,19.500339816758242,999.6283976841814,980.1280578674232,2158.0202047309986,2177.520544547757,3157.64860241518,50.26210143400264,5.02063958970855e-10,2.523479017163366e-08,5.99999999995725,7.700059472894377e+28,4.9190158993179884e+50,1.0495865768023618e+48,1.918292810081776e+48,558.5820856649711,553.5798180568449,810.0065675846344,5.121959195383548e-07
GRB050326A,1,"[13, 14, 19]","[39554.694446030044, 31.969000035698016, 34535.29589256207, 1.1185411406739707, 0.007697854783718945]","[8319.751679082352, 1.99127806514139e-06, 60513.552054947024, nan, 0.0019543685666528854]",9.23778742746183e-09,2.7843801518894676e-13,"[326.26676991501625, 21.751117994334418, 20, 5, 15, 71.59330316504035, 220.50595724102945]",112453.0,29.44,1.134711,,,3.62e-11,4.666103369089662e-07,1.58837,4.0,179.93450523248612,194558.59422391874,194378.65971868625,39374.75994079756,39554.694446030044,233933.3541647163,1080.2745113703313,8.543424467457315e-12,9.229244002994373e-09,1.815124906470135,,,,,,,,0.0
GRB050502B,1,"[1, 262, 487]","[139.53020078607761, 49.382939995133725, 49.382940000011295, 3.0, 0.007550882]","[nan, nan, 7.928007881910426e-13, 86.74687639187269, 0.20487360247274572]",2.2507209429811508e-11,2.5521981159999325e-13,"[20142.602763105308, 37.02684331453182, 549, 5, 544, 1992.7920863784277, 22565.83633450055]",116116.0,17.724,1.900999,5.2,+0.3-0.3,3.38e-11,4.649689129315505e-10,1.03076,1.0,94.04937700349087,188.09875401627102,94.04937701278016,45.48082378258674,139.53020078607761,233.57957779885777,1.0000000000987703,1.1253604144767331e-11,1.1253605285044177e-11,0.6775082359666356,1.544920626944464e+29,1.0888101730684664e+48,1.2346529591119427e+46,3.588871764903103e+46,22.504871094528646,7.335616739126893,37.67412545142867,4.971335073670377e-08
GRB050502B,2,"[507, 529, 548]","[69772.87027595015, 12903.779759664547, 28405.576251863262, 2.042834662211538, 0.024890587125863752]","[7093.807040208643, 8916.670402899883, 9838.026993552034, 1.193401704496454, 0.0065102282611004085]",3.078346446919279e-08,8.413005900125635e-13,"[19705.721332762405, 36.22375244993089, 549, 5, 544, 1980.7535617299368, 22128.95490415764]",116116.0,17.724,1.900999,5.2,+0.3-0.3,3.38e-11,4.649689129315505e-10,1.03076,1.0,33234.23614426055,106394.01153961838,73159.77539535784,36538.6341316896,69772.87027595015,142932.64567130798,2.2013376530693125,9.61581236395964e-09,2.116765210523315e-08,1.1052754468529142,1.544920626944464e+29,1.489182805219469e+51,4.0698810035547504e+46,8.678057400742524e+46,11253.688754185507,5893.328085756387,23053.65252763032,4.971335073670377e-08
GRB050607A,1,"[0, 7, 16]","[125.37618872723125, 3.202583333333333, 266.9823532833225, 1.623708157010335, 3.72441438263762]","[nan, nan, 109.98509981959727, 1.0390421413738429, 0.8879940116419351]",3.0805451135175426e-08,1.247858382228014e-10,"[284.07513115546607, 11.83646379814442, 34, 10, 24, 104.02028725106995, 234.39209176788393]",132247.0,48.0,22.62742,,,3.42e-11,4.887312242071804e-07,0.20849,3.0,10.529952867618036,888.3561650065056,877.8262121388876,114.84623585961322,125.37618872723125,1003.2024008661189,83.36468578490981,3.651462141539107e-10,3.044030492102152e-08,0.7583956862718275,,,,,,,,0.0
GRB050607A,2,"[0, 7, 16]","[301.0525419085045, 6.9699068179235155, 64.60928046959032, 1.546832020911336, 25.479640575288304]","[18.510722382053036, 28.74893589818902, 20.600989622420972, 0.6548740614642977, 8.298538663079114]",5.6091841555333696e-08,8.46140612365926e-10,"[284.07513115546607, 11.83646379814442, 34, 10, 24, 104.02028725106995, 234.39209176788393]",132247.0,48.0,22.62742,,,3.42e-11,4.887312242071804e-07,0.20849,3.0,24.31328879372387,249.69135134863296,225.3780625549091,276.73925311478064,301.0525419085045,526.4306044634136,9.269748098130075,5.461851452328105e-09,5.0629990103005586e-08,0.7583956862718275,,,,,,,,0.0
GRB050802A,1,"[0, 17, 37]","[388.52225342121415, 70.98504929579107, 245.0660654231952, 2.2034103734547914, 2.6397516577585702]","[61.35996551134957, 77.38950141983752, 106.33894442620505, 1.5532779479724994, 0.5849683219472304]",2.6225776987981427e-08,9.370668633941116e-11,"[3033.3450728528264, 17.948787413330333, 174, 5, 169, 512.4289252794904, 2663.227702310399]",148646.0,27.456,8.164955,1.7102,,3.5499999999999994e-11,5.563988334624042e-07,0.9719,4.0,170.64484778128502,759.7725844718782,589.1277366905932,217.87740563992912,388.52225342121415,977.6499901118074,3.452361699461776,5.890306437508298e-09,2.033547055047313e-08,0.18912967635268133,4.039271668951905e+28,1.984006149094282e+50,7.089004150147415e+47,7.077188062810849e+47,143.35556542735375,80.39163369490412,360.72983178798887,2.789468404559442e-07
GRB050814A,1,"[90, 94, 97]","[2127.311456384829, 55.106006271919256, 384.41596149367757, 1.0000001509339276, 0.27475930942501237]","[6.724148547693259, 71.67948168529506, 330.0754700409538, nan, 0.09566587155026955]",4.1138933353158554e-09,9.36927920200665e-12,"[4030.914620775601, 29.209526237504356, 143, 5, 138, 492.5527702823874, 4049.46987410229]",150314.0,142.852,41.66076,5.3,+0.3-0.3,3.41e-11,5.205869261687726e-07,0.49734,3.0,380.65869468970027,3036.1093074232967,2655.4506127335967,1746.6527616951287,2127.311456384829,4782.762069118426,6.975935791768077,5.157883303007952e-10,3.59810500501506e-09,0.6005763899337906,1.5798312665653171e+29,2.0480650723354534e+50,4.664412011332698e+47,4.249784394839127e+47,337.66848514044904,277.2464701103379,759.1685823997501,1.786093114871697e-07
GRB050803A,1,"[61, 80, 112]","[11032.976524836153, 3824.5779515975923, 10344.56563373314, 1.8403627594700713, 0.3143902708598024]","[1318.32611163851, 1164.3172765203908, 1855.0666576682097, nan, 0.03461510131497005]",1.4639282165845858e-07,1.1632325500080397e-11,"[2134.616332944638, 17.641457297063123, 126, 5, 121, 371.65170920769816, 1910.303453090692]",148833.0,88.124,10.19719,3.5,+0.5-0.5,3.7e-11,4.965915505868493e-07,0.62466,4.0,10930.876409900873,40496.274183846464,29565.397773945595,102.10011493527963,11032.976524836153,40598.374298781746,2.7047600453305014,3.95147510441091e-08,1.0687807061434948e-07,0.9162760781587607,9.661991346226408e+28,3.8163695346466196e+51,3.0324746905399095e+47,4.240800728468047e+47,2451.7725610747007,22.68891443006214,9021.860955284832,4.905876865714163e-08
GRB050822A,1,"[62, 68, 75]","[238.2422697629405, 13.192448664955746, 19.278677027163265, 1.0, 25.73681123159918]","[3.8092004414318827, 10.575678832175429, 14.681912615432246, 0.7752172275915319, 13.498543259445285]",2.7216699090217285e-08,8.05553831421112e-10,"[6686.989931688666, 30.121576268867862, 227, 5, 222, 782.9898737374274, 7041.635389293824]",151486.0,104.292,15.82051,1.434,,3.26e-11,4.552677394909937e-07,1.02985,3.0,91.1302069080489,224.30258991422764,133.17238300617873,147.1120628548916,238.2422697629405,371.41465276911924,1.4613418264324882,1.1057670179282639e-08,1.615902891093465e-08,2.0280765883195064,3.2477980372463377e+28,1.4821862220922733e+50,4.386941951072883e+48,1.6083814573662035e+48,97.88096539151212,60.440453103899586,152.59435200045982,4.1623010939230526e-07
