GRBname,pulse_num,t_start,t_stop,t_peak,rise,decay,sharp,amplitude,fluence_rise,fluence_decay,chisq,rchisq,deltaAIC,BIC,Trig_ID,T90,T90_err,redshift,redshift_err,conversion,conversion_bat,bat_conversion_rchisq,dimple,t_rise,t_decay,duration,t_ratio,fluence,peak_flux,underlying_index,d_l,e_iso,L_p,L_iso,t_peak_z,t_start_z,t_end_z,afterglow_fluence
GRB051210A,1,-0.8218702780524475,1.7324641253383837,0.7500278409743039,0.3413333396109653,0.2133333285649617,1.0000000000139193,0.0600410746345309,6.6903338228212156e-12,4.181458468897081e-12,1264.631898879391,0.1344923852897363,-18864.778328569715,-56884.275709829606,171931.0,1.3,0.2951948,,,4.57e-11,3.2974988870626646e-10,0.99065,5.0,1.5718981190267514,0.9824362843640798,2.5543344033908313,0.6249999745354745,1.0871792291718298e-11,1.97985376785412e-11,1.2236430140857941,,,,,,,,2.96196762716991e-08
GRB051227A,1,-0.7056912848731126,2.230996323790103,0.0696364615445786,0.1683602809678435,0.4693333307902019,1.0,0.064859267965793,6.00862970303758e-09,1.675009198012798e-08,1415.344126144539,0.1505204856050769,-17805.51646723948,-56666.88572407171,174738.0,115.4,14.94417,,,3.57e-11,5.558118376691179e-07,1.13017,3.0,0.7753277464176912,2.1613598622455243,2.9366876086632154,2.787672532334652,2.275872168316556e-08,3.6049548917941156e-08,0.054679574934861884,,,,,,,,3.152006587834069e-08
GRB051001A,1,132.37638763154197,133.75179806331957,132.7693617789347,0.085333251871655,0.2133333285649465,1.0000000000000042,0.0693787818214567,2.85071980243676e-09,7.126806150251166e-09,1543.3327875413408,0.1641319565608147,-16991.051554685037,-54262.416543651416,157870.0,190.26,22.85993,2.4296,,3.17e-11,4.863776419096339e-07,0.65639,3.0,0.39297414739272085,0.9824362843848746,1.3754104317775955,2.5000023306954886,9.977525952687925e-09,3.3744288300883083e-08,0.7441600373704528,6.215825138665504e+28,1.4124947318854795e+50,4.777099020562477e+50,3.522070082174399e+50,38.71278335051746,38.59820026578667,38.999241329402714,1.7349890564164068e-07
GRB051001A,2,153.1676341934993,153.9142858034856,153.8553396291674,0.1493333379427592,0.0127999991178512,1.0,0.0649438026322573,4.6698620695040376e-09,4.002738517306213e-10,1532.238388219145,0.1629520778708013,-17058.926141607833,-54273.5109429736,157870.0,190.26,22.85993,2.4296,,3.17e-11,4.863776419096339e-07,0.65639,3.0,0.6877054356680787,0.05894617431820848,0.7466516099862872,0.0857142771613323,5.070135921234659e-09,3.158721358092198e-08,0.7441600373704528,6.215825138665504e+28,7.177671411376268e+49,4.4717270583469745e+50,3.296924769626915e+50,44.86101575378102,44.660495157889926,44.87820323171378,1.7349890564164068e-07
GRB050925A,1,-0.1009547946682983,0.095859910633192,0.0115107493478189,0.0767999976873397,0.057600000500752,4.003697725002782,0.4882122328240481,,,1238.0584416025958,0.1316663236842067,-19064.57330747784,-49039.7890193624,156838.0,0.09200001,0.01442221,,,,,,5.0,0.1124655440161172,0.0843491612853731,0.1968147053014903,0.7500000291047826,,,False,,,,,,,,0.0
GRB051221A,1,-0.164649197996572,0.7073558340301371,0.0705050965434942,0.0732583150633094,0.1983999997378244,1.3094786513569303,1.6920065938675053,2.970296323481306e-10,8.04423073736649e-10,1271.7827152821667,0.1452138291027822,-16898.276332413265,-49220.5876002728,173780.0,1.392,0.1974639,0.5464,,3.49e-11,2.612794877753574e-09,0.6405,5.0,0.2351542945400662,0.6368507374866429,0.8720050320267091,2.7082249921577963,1.1014527060847797e-09,4.4208661615822895e-09,1.0306966252309986,9.871667866314794e+27,8.722378876541523e+47,3.500873837867219e+48,1.5468129425049776e+48,0.04559305260184571,-0.10647258018402224,0.4574209997608233,6.568382472775848e-08
GRB051221A,2,0.5949627688777738,1.2658264208430996,0.93179807683631,0.0731428577783001,0.0725333333007276,1.0000000000001146,0.6262207758239706,1.1847880803342887e-10,1.1749148355960426e-10,1271.7827152821667,0.1452138291027822,-16898.276332413265,-49220.5876002728,173780.0,1.392,0.1974639,0.5464,,3.49e-11,2.612794877753574e-09,0.6405,5.0,0.3368353079585362,0.3340283440067896,0.6708636519653258,0.9916666576055853,2.3597029159303314e-10,1.6361864354157398e-09,1.0306966252309986,9.871667866314794e+27,1.8686433611830384e+47,1.2956923092125515e+48,4.307388073967086e+47,0.6025595427032527,0.3847405385914212,0.8185633864738099,6.568382472775848e-08
GRB050820B,1,-1.629620270704944,3.773778470107798,1.9071498271036509,0.7680000022442685,0.4053333302338907,1.000000113929503,0.1209717925441581,3.652243773678416e-08,1.927573082402439e-08,3817.820040722249,0.4304193957973222,-7471.5824582651185,-49491.55491712234,151334.0,12.064,0.5189065,,,4.18e-11,3.970804232909386e-07,2.01351,4.0,3.5367700978085947,1.8666286430041472,5.403398740812742,0.52777777219976,5.579816856080855e-08,4.803553058969791e-08,1.3775507569580085,,,,,,,,0.0
GRB050820B,2,2.407007275178776,18.322475351939996,8.694599527081825,1.365333309730257,2.090666671593865,1.0000000000003304,0.2578330632791199,1.383858654143765e-07,2.1190336057842937e-07,1531.565238120943,0.1727653962911385,-15562.908673541237,-51732.354751651925,151334.0,12.064,0.5189065,,,4.18e-11,3.970804232909386e-07,2.01351,4.0,6.28759225190305,9.62787582485817,15.91546807676122,1.5312500300801353,3.502892259928059e-07,1.023804619052723e-07,1.3775507569580085,,,,,,,,0.0
GRB050820B,3,10.827895644938929,13.42714129539472,12.287515240568338,0.3169523680298746,0.2474666535221511,1.0000000000000415,0.1051894107735915,1.3106310816802941e-08,1.023300408832941e-08,1531.565238120943,0.1727653962911385,-15562.908673541237,-51732.354751651925,151334.0,12.064,0.5189065,,,4.18e-11,3.970804232909386e-07,2.01351,4.0,1.459619595629409,1.1396260548263815,2.5992456504557904,0.7807692211304949,2.3339314905132352e-08,4.176865575570213e-08,1.3775507569580085,,,,,,,,0.0
